,My,Thy,Ace,Stick,Hit,Greedy Choice,Greedy Value
207,4,2,False,-inf,-0.18556701030927836,1,-0.18556701030927836
208,14,4,True,-0.4782608695652174,0.03529411764705882,1,0.03529411764705882
209,6,4,False,-inf,-0.10781990521327015,1,-0.10781990521327015
210,14,3,True,-0.5,0.021885521885521887,1,0.021885521885521887
211,5,2,False,-inf,-0.12984822934232715,1,-0.12984822934232715
212,17,6,True,0.012626262626262626,-0.03508771929824561,0,0.012626262626262626
213,10,5,False,-inf,0.24853801169590642,1,0.24853801169590642
214,15,6,True,-0.3333333333333333,0.11094224924012158,1,0.11094224924012158
215,11,2,False,-inf,0.16431763492609144,1,0.16431763492609144
216,4,6,False,-inf,0.013289036544850499,1,0.013289036544850499
217,21,2,False,0.8941068139963168,-1.0,0,0.8941068139963168
218,20,4,True,0.6440489432703004,0.05660377358490566,0,0.6440489432703004
219,5,3,False,-inf,-0.1032258064516129,1,-0.1032258064516129
220,13,5,True,-0.11764705882352941,0.12054329371816638,1,0.12054329371816638
221,19,9,True,0.23076923076923078,-0.07692307692307693,0,0.23076923076923078
222,17,5,True,-0.08,0.04499274310595065,1,0.04499274310595065
223,21,7,False,0.9286671131949096,-1.0,0,0.9286671131949096
224,11,7,False,-inf,0.2468836565096953,1,0.2468836565096953
225,18,8,True,0.18,0.018604651162790697,0,0.18
226,5,5,False,-inf,-0.10096153846153846,1,-0.10096153846153846
227,18,2,True,-0.15555555555555556,0.056818181818181816,1,0.056818181818181816
228,21,8,False,0.9382916531341344,-1.0,0,0.9382916531341344
229,21,4,True,0.981860285604014,0.2808219178082192,0,0.981860285604014
230,16,3,True,-0.29347826086956524,-0.05749128919860627,1,-0.05749128919860627
231,19,10,True,-0.024135876042908223,-0.19418483904465214,0,-0.024135876042908223
232,16,4,True,-0.28,-0.011220196353436185,1,-0.011220196353436185
233,13,1,True,-0.7101449275362319,-0.352165725047081,1,-0.352165725047081
234,8,6,False,-inf,0.10725167580743449,1,0.10725167580743449
235,20,7,True,0.7725366876310272,0.21568627450980393,0,0.7725366876310272
236,12,1,True,-0.6981132075471698,-0.37222222222222223,1,-0.37222222222222223
237,18,6,True,0.3038130381303813,0.16176470588235295,0,0.3038130381303813
238,14,6,True,-0.29411764705882354,0.11056910569105691,1,0.11056910569105691
239,6,8,False,-inf,-0.2713963963963964,1,-0.2713963963963964
240,6,2,False,-inf,-0.18581907090464547,1,-0.18581907090464547
241,12,9,True,-0.4358974358974359,-0.1016260162601626,1,-0.1016260162601626
242,5,6,False,-inf,-0.030141843971631204,1,-0.030141843971631204
243,8,5,False,-inf,0.061211742660836975,1,0.061211742660836975
244,16,9,True,-0.5735294117647058,-0.1861198738170347,1,-0.1861198738170347
245,15,9,True,-0.576271186440678,-0.20875420875420875,1,-0.20875420875420875
246,15,4,True,-0.21951219512195122,-0.009230769230769232,1,-0.009230769230769232
247,5,10,False,-inf,-0.4091894234937148,1,-0.4091894234937148
248,14,9,True,-0.56,-0.12825278810408922,1,-0.12825278810408922
249,16,8,True,-0.6923076923076923,-0.14586070959264127,1,-0.14586070959264127
250,5,8,False,-inf,-0.2973856209150327,1,-0.2973856209150327
251,13,6,True,-0.15527950310559005,0.09302325581395349,1,0.09302325581395349
252,14,8,True,-0.34285714285714286,-0.013011152416356878,1,-0.013011152416356878
253,19,4,True,0.42775229357798167,0.11904761904761904,0,0.42775229357798167
254,13,9,True,-0.5319148936170213,-0.09074410163339383,1,-0.09074410163339383
255,12,7,True,-0.5652173913043478,0.1595744680851064,1,0.1595744680851064
256,15,8,True,-0.5471698113207547,-0.05185185185185185,1,-0.05185185185185185
257,4,7,False,-inf,-0.1310344827586207,1,-0.1310344827586207
258,12,8,True,-0.30434782608695654,0.05,1,0.05
259,20,9,True,0.7629310344827587,0.05555555555555555,0,0.7629310344827587
260,4,1,False,-inf,-0.47653429602888087,1,-0.47653429602888087
261,12,3,True,-0.17857142857142858,0.01762114537444934,1,0.01762114537444934
262,20,8,True,0.8251533742331288,0.21428571428571427,0,0.8251533742331288
263,13,8,True,-0.5283018867924528,0.07407407407407407,1,0.07407407407407407
264,12,5,True,-0.15862068965517243,0.09523809523809523,1,0.09523809523809523
265,4,4,False,-inf,-0.04262295081967213,1,-0.04262295081967213
266,13,2,True,-0.07692307692307693,0.01107011070110701,1,0.01107011070110701
267,15,1,True,-0.7368421052631579,-0.3075313807531381,1,-0.3075313807531381
268,4,5,False,-inf,-0.013937282229965157,1,-0.013937282229965157
269,14,1,True,-0.8421052631578947,-0.3394495412844037,1,-0.3394495412844037
270,15,2,True,-0.3,-0.037037037037037035,1,-0.037037037037037035
271,12,4,True,-0.2631578947368421,0.1417910447761194,1,0.1417910447761194
272,12,6,True,-0.13191489361702127,0.03508771929824561,1,0.03508771929824561
273,4,3,False,-inf,-0.05537459283387622,1,-0.05537459283387622
274,4,9,False,-inf,-0.2305084745762712,1,-0.2305084745762712
275,20,1,True,0.1725790987535954,-0.49019607843137253,0,0.1725790987535954
276,17,4,True,-0.0550122249388753,-0.11428571428571428,0,-0.0550122249388753
277,12,2,True,-0.25,-0.06403940886699508,1,-0.06403940886699508
278,5,4,False,-inf,-0.13095238095238096,1,-0.13095238095238096
279,16,1,True,-0.8,-0.4226110363391655,1,-0.4226110363391655
